SYMBOL,COMPANY NAME,ATTACHMENT,SUBJECT,DETAILS,BROADCAST DATE/TIME
IDFCFIRSTB.NS,IDFC First Bank Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c9f92c9e-009e-4b43-8e9d-b417c1afc30d.pdf,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS,"Allotment of 12,16,013 Equity Shares pursuant to exercise of ESOP",22-06-2025 13:25:20
139437,Unknown,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c9f92c9e-009e-4b43-8e9d-b417c1afc30d.pdf,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS,"Allotment of 12,16,013 Equity Shares pursuant to exercise of ESOP",22-06-2025 13:25:20
ZENTEC.NS,ZEN Technologies Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/de3eae0b-9575-4e48-8a05-31fc5b63c9c4.pdf,Announcement under Regulation 30 (LODR)-Press Release / Media Release,Press Release,22-06-2025 13:22:17
TATATECH.NS,Tata Technologies Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/bf4e8666-1ac9-4cee-932e-986c6aee290b.pdf,Closure of Trading Window,"Intimation of closure of trading window for the quarter ending June 30, 2025",22-06-2025 12:58:02
NLCINDIA.NS,NLC India Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/de78a185-fc67-4a96-abe2-f0178f10875e.pdf,"NLC India Renewables Limited, A Wholly Owned Subsidiary Of NLC India Limited, Has Received A Letter Of Award From Tamil Nadu Green Energy Corporation Limited For The Development Of Three Standalone Battery Energy Storage System Projects With An Aggregate Capacity Of 250 MW/500 Mwh.",Please refer attachment.,22-06-2025 12:53:45
113683,Unknown,https://www.bseindia.com/xml-data/corpfiling/AttachLive/de78a185-fc67-4a96-abe2-f0178f10875e.pdf,"NLC India Renewables Limited, A Wholly Owned Subsidiary Of NLC India Limited, Has Received A Letter Of Award From Tamil Nadu Green Energy Corporation Limited For The Development Of Three Standalone Battery Energy Storage System Projects With An Aggregate Capacity Of 250 MW/500 Mwh.",Please refer attachment.,22-06-2025 12:53:45
TATACONSUM.NS,Tata Consumer Products Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6a69c750-cb90-4be5-ba92-bf4c5ffcb628.pdf,Closure of Trading Window,Intimation of Closure of Trading Window,22-06-2025 12:31:38
VIPULLTD.NS,Vipul Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0ecd0c5c-25d6-4369-be98-311c0c1996c8.pdf,Announcement under Regulation 30 (LODR)-Diversification / Disinvestment,"SALE OF 50% SHARES (EQUITY AND PREFERENCE) HELD BY THE COMPANY IN ITS WHOLLY OWNED SUBSIDIARY, HIGH CLASS PROJECTS LTD TO EXPERTPRO REALTY PVT LTD. CONSEQUENTLY HIGH CLASS PROJECTS LTD .... Read More..",22-06-2025 12:26:50
506605,Polychem Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7ce6d86c-afb6-4b85-b518-1cc384171a45.pdf,Announcement under Regulation 30 (LODR)-Newspaper Publication,Newspaper publication of Notice of Record Date,22-06-2025 12:23:12
KFINTECH.NS,KFin Technologies Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/654827a0-b160-4547-94d0-be236454f8e9.pdf,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS,Please find attached Intimation of Allotment of Equity Shares pursuant to exercise of options by the eligible grantees,22-06-2025 12:22:10
544304,Jungle Camps India Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3c9027d4-881e-4b76-b30e-08d54b2e054f.pdf,Announcement under Regulation 30 (LODR)-Newspaper Publication,Announcement under Regulation 30 of SEBI (LODR) Regulations 2015- Newspaper Publication for Postal Ballot Notice.,22-06-2025 12:22:03
511758,Mansi Finance (Chennai) Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/163b2c6b-bb9b-4d2e-bc02-48d73508db13.pdf,Announcement under Regulation 30 (LODR)-Newspaper Publication,Newspaper publication for Quarterly Financial Results is enclosed herewith.,22-06-2025 11:48:18
511758,Mansi Finance (Chennai) Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/32bb2a71-9d87-499e-96bf-7050a2507ec7.pdf,Clarification On Price Movement,"Please be informed that there is no information / announcement to be made by the Company which, in our opinion, may have a bearing on the spurt in price behavior in scrip of the Company.",22-06-2025 11:38:38
GALAPREC.NS,Gala Precision Engineering Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/50d64d08-bcd1-47dc-a8d9-57e280582a3c.pdf,Announcement under Regulation 30 (LODR)-Newspaper Publication,Please find attached Newspaper advertisement post Dispatch,22-06-2025 10:35:32
CENTENKA.NS,Century Enka Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3c41ce3d-72fe-4277-b32d-75e12946b87e.pdf,"Disclosure Pursuant To Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015.",Gujarat Pollution Control Board granted permission to resume operations.,22-06-2025 10:29:07
NTPC.NS,NTPC Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a63b2d7f-fdae-4c6b-9cff-7f33ed442f6e.pdf,"Declaration Of COD Of Second & Last Part Capacity Of 52 MW Out Of 245 MW At Plot-3 Of NTPC'S Nokh Solar PV Project (3X245 MW) Under CPSU Scheme Phase-II, Tranche -III",Disclosure attached.,22-06-2025 08:44:28
132555,Unknown,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a63b2d7f-fdae-4c6b-9cff-7f33ed442f6e.pdf,"Declaration Of COD Of Second & Last Part Capacity Of 52 MW Out Of 245 MW At Plot-3 Of NTPC'S Nokh Solar PV Project (3X245 MW) Under CPSU Scheme Phase-II, Tranche -III",Disclosure attached.,22-06-2025 08:44:28
MALUPAPER.NS,Malu Paper Mills Ltd,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report","Outcome of Postal Ballot, Scrutinizers report and voting results",22-06-2025 22:46:02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f920d8a9-242f-496f-98a0-f7ac336206ca.pdf
539607,Blue Cloud Softech Solutions Ltd,CORRIGENDUM FOR THE EGM TO BE HELD ON 27.06.2025,CORRIGENDUM FOR THE EGM TO BE HELD ON 27.06.2025,22-06-2025 22:32:21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/317835de-8217-4b28-bf88-7f36e586d586.pdf
KELLTONTEC.NS,Kellton Tech Solutions Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,Newspaper Publication,22-06-2025 22:20:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/bb602b71-5786-41e9-9f66-29805890411e.pdf
PNGJL.NS,P N Gadgil Jewellers Ltd,Intimation Of Store Opening,"Intimation of store opening at Wakad, Pune & Kharadi, Pune.",22-06-2025 19:50:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2a27b69a-5c87-44a4-b3a0-13d11ec7592d.pdf
SEMAC.NS,Semac Consultants Ltd-$,Closure of Trading Window,Trading Window for dealing in securities of the Company for the Designated Persons and their Immediate Relatives will remain closed with effect from 1st July 2025 till 48 hours after the .... Read More..,22-06-2025 17:25:23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8f09e194-c767-46e2-bfb0-c77e016bf384.pdf
ZEEL.NS,Zee Entertainment Enterprises Ltd,Announcement under Regulation 30 (LODR)-Investor Presentation,Investor Presentation,22-06-2025 17:11:31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/92213f6c-c07b-48f8-8158-85e4236e3300.pdf
105537,Unknown,Announcement under Regulation 30 (LODR)-Investor Presentation,Investor Presentation,22-06-2025 17:11:31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/92213f6c-c07b-48f8-8158-85e4236e3300.pdf
CENTRUM.NS,Centrum Capital Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Please find attached Newspaper Advertisement of Corrigendum to Postal Ballot Notice Dated May 26, 2025",22-06-2025 16:47:39,https://www.bseindia.com/xml-data/corpfiling/AttachLive/299704d3-b879-43ee-8565-4e9fdf10949c.pdf
MEDPLUS.NS,Medplus Health Services Ltd,"Update Under Regulation 30 Read With Para A Part A Of Schedule III Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015","Update under Regulation 30 read with Para A Part A of Schedule III of SEBI(Listing Obligations and Disclosure Requirements)Regulations,2015",22-06-2025 14:53:16,https://www.bseindia.com/xml-data/corpfiling/AttachLive/39f0d7e3-36b8-4e0e-a889-0dfeeeabc0a2.pdf
MOLDTKPAC.NS,Mold-Tek Packaging Ltd,Intimation,"Intimation of Schedule of Analyst / Institutional Investor Meeting under the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements), Regulations, 2015.",22-06-2025 14:52:12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/80586bc0-3425-4b2b-a274-bc9f5f2708cf.pdf
530039,Lords Chemicals Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Intimation of newspaper publication of financial results for the quarter ended 31.03.2024, 30.06.2024, 30.09.2024 and 31.12.2024.",22-06-2025 13:49:31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c9ba45cf-35dd-48ba-9e3b-85928dcf7406.pdf
